is_gorafi,title,category
True,7 choses à retenir du livre du prince Harry « Le Suppléant »,culture
True,Il achète le livre du Gorafi et couche avec 24 femmes le jour-même,culture
True,L’ARCOM pense à l’éventualité de la possibilité de peut-être sanctionner C8 après la 10 000e plainte,culture
True,Il se fait tatouer en espérant avoir enfin une personnalité,culture
True,Un chorizo raconte l’enfer des corridas,culture
True,Cyril Hanouna remercie ses chroniqueurs et promet de « leur rendre un jour leur passeport »,culture
True,Test – Est-ce que ce mur est porteur ?,culture
True,"Happé par le suspens de son jeu d’escape quest, il rate son mariage et redevient célibataire",culture
True,L’homme qui critiquait les films au cinéma vient de terminer la saison 2 d’Emily In Paris,culture
True,Il achète un livre sur le plaisir féminin au lieu de regarder du porno comme tout le monde,culture
True,Drop shipping – Magali Berdah vend son âme au diable trois fois le prix d’achat,culture
True,Netflix : 6 séries à voir absolument que vous aurez oubliées dans 5 jours,culture
True,"À la dernière minute, Editis suspend la publication du calendrier érotique de Vincent Bolloré",culture
True,BFMTV s’excuse après avoir parlé d’autre chose que de la mort de la Reine,culture
True,Test : Est-ce que tu m’entends hey ho?,culture
True,Les 5 meilleures leçons de vie du Dalaï-Lama,culture
True,Cannes – un festivalier se repose d’une semaine de fête devant un bon vieux film,culture
True,"Déchéance : après son divorce et la perte de son emploi, il devient fan d’un animateur TV",culture
True,Netflix augmente le prix de son abonnement pour ceux qui regardent leur téléphone pendant les films,culture
True,Liberté d’expression: Un rapport démontre que ******* et ***** pour **********,culture
True,Concert d’Orelsan – L’homme qui chante à tue-tête « L’odeur de l’essence » va voter Macron dans 3 semaines,culture
True,L’implant cérébral d’Elon Musk permettra de comprendre les films de Christopher Nolan,culture
True,Le documentaire sur la vie du groupe Tragédie encore refusé par Netflix,culture
True,Jean-Pierre Pernaut sera inhumé dans un cercueil fabriqué à la main par le dernier petit artisan du Poitou,culture
True,Emmanuel Macron menace de couper aux Russes l’accès à Salto,culture
True,Prison ferme pour l’homme qui avait oublié sa carte de fidélité du magasin,culture
True,Décathlon lance le premier casque de vélo qui ne fait pas une tête de gland,culture
True,Vincent Bolloré rachète le collectif StopBolloré,culture
True,Magie : Eric Antoine recalé de Poudlard pour la 15ème année de suite,culture
True,"Face à Baba : Dorénavant, les candidats débattront uniquement en onomatopées",culture
True,Il brise la routine de son tour du monde en s’accordant un CDD de 6 mois à la Défense,culture
True,"Pour gagner en popularité, une star hésite encore entre rencontrer un enfant leucémique ou tétraplégique",culture
True,"Après 10 ans de relation, ils sautent le pas et prennent enfin une carte UGC Illimité Duo",culture
True,France – Elle devient la première personne à lire le livre qu’on lui a offert pour Noël,culture
True,Test : quel cadeau de Noël raté êtes-vous ?,culture
True,Santé : Michel Cymes recommande aux Français de lui faire un massage des pieds,culture
True,La Fnac va proposer un rayon “banalités” pour les cadeaux à destination des gens dont vous n’avez rien à foutre,culture
True,Cet article est réservé aux abonnés,culture
True,Il obtient enfin le stage d’observation de ses rêves au Gorafi,culture
True,Michael Bay viré de son documentaire animalier après avoir fait exploser un hippopotame,culture
True,Instagram – La story de lui en train de boxer ne fait peur à personne,culture
True,La personne qui n’avait pas le temps pour boire un verre vient de binge-watcher 77 heures de séries Netflix,culture
True,Deux fact-checkeurs meurent d’épuisement après avoir vérifié tous les propos de Michel Onfray,culture
True,5 épisodes de Louis la Brocante pour patienter avant la sortie du second volet de Dune,culture
True,"“Les 10 ans du Gorafi”, toujours le livre le plus lu aux toilettes",culture
True,"Squid Game : On a toujours pas regardé, et alors ? Qu’est-ce que vous allez faire, hein ?",culture
True,Le Covid 19 jaloux de la couverture médiatique accordée à Éric Zemmour,culture
True,L’agent secret Bob Saint-Clar porté disparu au cours d’une périlleuse dernière mission,culture
True,Malgré la polémique C8 diffusera bien un film affirmant que la Terre est plate,culture
True,Richard Anconina accusé de ne jouer que dans des films avec Richard Anconina,culture
True,Clara Luciani confirme qu’elle continuera à faire de la promo tant que vous n’avez pas acheté son album,culture
True,France-Portugal : 70 kilos de blagues sur les maçons et les poils saisies dans les locaux des Grosses-Têtes,culture
True,Europe 1- Nouvelle inquiétude après que Vincent Bolloré a proposé de faire un « gros méchoui » avec les restes des journalistes,culture
True,Bac : 3 erreurs à ne pas commettre pour réussir l’épreuve de philosophie,culture
True,TF1 rachète les droits de votre vie pour l’adapter en moins bien,culture
True,Mein Kampf – Que vaut le reboot 2021 ?,culture
True,82% des Français favorables à ce que les frères Bogdanoff conservent leur masque après la pandémie,culture
True,Eric Zemmour obligé de prendre un second travail pour payer l’amende de CNews,culture
True,Samuel Étienne contraint de se justifier après avoir invité Cthulhu sur sa chaîne Twitch,culture
True,"Sondage : après les Daft Punk, 81% des Français craignent une séparation des Chevaliers du Fiel",culture
True,Salto va autoriser son abonné à partager ses codes avec l’ensemble des Français,culture
True,Test : Est-ce que tu viens pour les vacances ?,culture
True,Un marginal tape encore « www. » dans sa barre de recherche pour surfer sur internet,culture
True,TEST : Êtes-vous complotiste ou un mouton obéissant aux merdias ?,culture
True,"Jean-Pierre Bacri se dit « content de ne pas être mort en 2020, comme tous ces cons-là ! »",culture
True,"Lors d’une randonnée en solitaire, Pascal Praud réussit à ne se couper que 10 fois la parole",culture
True,"Par crainte d’être mis à pied ou renvoyés, tous les Français suppriment les propos négatifs qu’ils ont eu un jour contre CNews",culture
True,Vincent Bolloré se licencie lui-même après s’être souvenu avoir rigolé à un sketch de Sébastien Thoen,culture
True,Mort de l’interprète de Dark Vador : David Prowse sera incinéré par un rayon de laser pulvérisant la Terre,culture
True,Pascal Praud licencié du groupe Canal après une émission parodiant le journalisme,culture
True,Michel Houellebecq profite du confinement pour lancer sa chaîne YouTube de tutos de dépression,culture
True,France – Les journalistes finalement autorisés à couvrir les manifestations à condition de respecter une distance de sécurité de 500 kilomètres,culture
True,Netflix obtient les droits pour adapter l’année 2020 en série,culture
True,"Selon le CNC, il faudrait douze comédies racistes supplémentaires pour sauver le cinéma français",culture
True,Nouvelle polémique après qu’un polémiste a réagi à la dernière polémique du polémiste très polémique,culture
True,Le prix Nobel de littérature décerné à Nicolas Sarkozy pour son livre « Le Temps des Tempêtes »,culture
True,Christophe Maé se blesse grièvement en rendant hommage à Van Halen à la guitare,culture
True,CNews affirme qu’elle ignorait que Eric Zemmour tenait des propos racistes depuis des années sur son antenne,culture
True,Biodiversité : la chasse bientôt autorisée dans les parcs et cimetières parisiens,culture
True,La Reine des neiges 3 ne sortira qu’en produits dérivés,culture
True,Bretagne – Il pêche un superbe masque FFP2 de 2 kilos 7,culture
True,"Fort Boyard – Face aux protestations, la production s’engage à ne plus utiliser d’Olivier Minne dans l’émission",culture
True,"“Tu vas voir, Paris en août c’est génial” par votre ami en vacances aux Seychelles",culture
True,Un rapport révèle que la France n’est pas préparée en cas de reformation du groupe Whatfor,culture
True,CNews va engager un ragondin comme chroniqueur de gauche,culture
True,Montpellier – Il met de l’huile,culture
True,"Disney annonce que, dans les prochains Star Wars, Chewbacca sera interprété par un vrai Wookiee",culture
True,Le cinéma français songe à sortir un film sans Camille Cottin en 2021,culture
True,"Après « Autant en Emporte le Vent », tous les films de Christian Clavier vont être retirés pour être « recontextualisés »",culture
True,La culture toujours dans la crainte d’une 2e vague de Franck Riester,culture
True,"Pour protéger la biodiversité, le président de la Fédération nationale des chasseurs propose d’abattre tous les promeneurs à plus de 300 mètres de chez eux",culture
True,« Ah oui tiens je vais regarder ! » par cet homme à qui on vient de conseiller une série qu’il ne regardera jamais,culture
True,Richard Anconina va lancer l’AnconinApp une appli pour suivre toute l’actu de Richard Anconina,culture
True,Il a hâte que le confinement se termine pour relancer le débat sur la soirée des César,culture
True,Test : Sur quelle musique de la Compagnie Créole vos parents vous ont-ils conçu ?,culture
True,Elle n’a toujours pas regardé le spectacle de rue qu’elle avait filmé mécaniquement l’été dernier,culture
True,Polémique après que Marie S’Infiltre se filme en train de tousser sur les résidents d’un Ehpad,culture
True,« J’ai binge-watché une série tout le week-end » par ce père de famille qui a regardé 12 saisons de Franklin la tortue,culture
True,Prolongation du confinement : Richard Anconina s’exprimera à 20h30,culture
True,80% des Français avouent ne pas savoir comment recharger leurs livres,culture
True,Le Coronavirus sauve plusieurs milliers de personnes d’un concert de Christophe Maé,culture
True,Le réalisateur Wes Anderson placé en garde à vue suite à des plans de son prochain film jugés pas assez symétriques,culture
True,Coronavirus – Le monde bascule dans le chaos après l’annonce d’un possible report de la Playstation 5,culture
True,Le gouvernement souhaite relancer le débat autour de Richard Anconina,culture
True,À 60 ans Nicola Sirkis annonce officiellement qu’il va mettre fin à sa crise d’adolescence,culture
True,Insolite : un journaliste réalise la première interview avec concession,culture
True,La France a un incroyable talent : le candidat qui prétendait avoir fait le Débarquement de Normandie avait menti,culture
True,Vincent Bolloré licencie la totalité de CNews pour ne garder que Eric Zemmour,culture
True,Le dragon du “Hobbit” déçu d’être appelé que pour des rôles de dragon au cinéma,culture
True,5 photos de stars avant leur naissance,culture
True,Les présidents de chaînes de télévisions se retrouvent dans les sous-sol du CSA pour la cérémonie hebdomadaire de sortilèges pour contrer Netflix,culture
True,"Dans l’espoir de booster leurs futures carrières, des dizaines de jeunes écrivains lancent à leur tour leurs propres revues antisémites",culture
True,Les médias contraints de trouver d’autres sujets à traiter après que Yann Moix a annoncé se retirer des médias,culture
True,"« Je ne suis pas antisémite, cette polémique ça doit encore être un coup des Juifs » par Yann Moix",culture
True,"Refusant son traitement anti-moustiques, Aymeric Caron meurt de la dengue, du paludisme et du chikungunya",culture
True,5 façons d’utiliser un livre de Marc Levy à la plage,culture
True,Laurence Sailliet chez Hanouna – Les chroniqueurs télé inquiets que l’arrivée des politiques dans les émissions ne décrédibilise leur métier,culture
True,"Trop de partages de comptes : En France, seulement douze personnes seraient vraiment abonnées à Netflix",culture
True,BFM TV contraint de licencier 120 journalistes en raison de la fin de la canicule,culture
True,Tomer Sisley accusé d’avoir plagié les accusations de Philippe Lellouche envers Kheiron,culture
True,Les scénaristes de Game of Thrones invitent tous ceux qui n’ont pas aimé la dernière saison à leur chaleureux mariage,culture
True,Le CSA autorise les coupures pub entre deux de vos rêves,culture
True,Gorarécap Game of Thrones Saison 8 épisode 6,culture
True,Le gagnant des 21 millions d’euros du Loto annonce qu’il va financer une nouvelle saison de Game of Thrones,culture
True,Gorarécap Game of Thrones saison 8 épisode 5,culture
True,Gorarécap Game of Thrones Saison 8 épisode 4,culture
True,La personne qui criait « à poil !!! » dans les concerts prend sa retraite à 52 ans,culture
True,Gorarécap Game of Thrones saison 8 épisode 3,culture
True,"Pour éviter un nouveau drame national, le gouvernement va installer un détecteur de fumée sur Michel Drucker",culture
True,Yann Moix :  » Moi de toute façon je suis incapable d’aimer une cathédrale de plus de 50 ans »,culture
True,Gorarécap Game of Thrones Saison 8 épisode 1,culture
True,"Arrivé en haut de l’Everest, il atteint enfin le post Instagram de ses rêves",culture
True,Test : Avez-vous la chanson « The Final Countdown » dans la tête ?,culture
True,Balance ton Post : Cyril Hanouna défend son interview d’Adolf Hitler,culture
True,Sa passion du moment à deux doigts de se transformer en un énième podcast,culture
True,Le spectacle de Bernard-Henri Lévy affiche déjà cinq places,culture
True,Le bruit de la boîte de nuit l’empêche d’avoir une discussion sur l’impératif catégorique de Kant,culture
True,Joueurs de cornemuse – Bientôt des médiateurs dans chaque département,culture
True,Cyril Hanouna organise un combat de coq et un lancer de nain pour financer sa banque du cœur,culture
True,Polémique après qu’une vidéo où Bilal Hassani mange une pizza en laissant la croûte de côté a refait surface,culture
True,César : Marlène Schiappa s’insurge contre l’absence de femmes dans la catégorie « meilleur acteur »,culture
True,Il passe en navigation privée pour écouter le dernier album d’Indochine,culture
True,5 preuves que vous devez démissionner pour devenir taxidermiste,culture
True,Cyril Hanouna pressenti pour animer le prochain sommet du G7,culture
True,Marie Kondo recommande de ne garder que trois membres de votre famille,culture
True,BFM TV va sortir un coffret des trois premières saisons d’Alexandre Benalla,culture
True,"Pour son prochain tirage, le nouveau Houellebecq sera vendu avec du Lexomil",culture
True,La marionnette de Jeff Panacloc échappe à son contrôle et sort une réplique presque drôle,culture
True,BFMTV s’excuse pour avoir laissé passer des journalistes sur son antenne,culture
True,Violente bagarre entre Dany Boon et Kad Merad pour savoir qui fera la première comédie sur les Gilets Jaunes,culture
True,Gilets jaunes – France 2 prépare un «Rendez-vous en Terre inconnue» pour emmener Emmanuel Macron dans un Lidl de province,culture
True,Mort du doyen des fans de M. Pokora à l’âge de neuf ans,culture
True,"Pour relancer sa carrière, sa maison de disque lui conseille de mourir",culture
True,Les fans en colère après que Marvel a décidé de faire mourir Stan Lee,culture
True,"Face à la hausse du prix du carburant, TF1 contraint de déprogrammer l’émission « Automoto »",culture
True,Le musée Grévin dévoile la statue d’Emmanuel Macron en train de faire un doigt d’honneur à Philippe Martinez,culture
True,The Voice Kids : Un enfant abandonné par ses parents après avoir raté son audition,culture
True,Piratage – La Corée du Nord retient en otage plusieurs dizaines d’émissions du Burger Quiz,culture
True,Ed Sheeran accusé de plagiat par un golden retriever,culture
True,Deux parents réussissent enfin à faire leur deuil après que le crime de leur fille a été raconté par Christophe Hondelatte,culture
True,Nous avons écouté l’album posthume de Johnny Hallyday « Mon pays c’est l’amour »,culture
True,Charles Aznavour voit son souhait d’être « emmené au pays des merveilles » exaucé,culture
True,La position Laurent Voulzy rentre dans le Kamasutra,culture
True,Les concerts de Médine au Bataclan finalement déplacés à l’Hyper Cacher de la porte de Vincennes,culture
True,"Après Burger Quizz et Quotidien, Canal + sera également diffusée sur TMC l’année prochaine",culture
True,Rentrée scolaire : pour éviter les problèmes Booba et Kaaris ne seront pas dans la même classe de 6ème,culture
True,Il suit la « Masterclass » d’écriture d’Eric-Emmanuel Schmitt et devient le meilleur garagiste de sa promotion,culture
True,La dette de talent de Kev Adams pourrait atteindre 100% du PIB artistique à l’horizon 2020,culture
True,Fort Boyard : Qui se cache derrière Olivier Minne ?,culture
True,Palais de Tokyo – le surveillant immobile de salle de musée confondu avec un artiste en performance,culture
True,L’homme qui critiquait “Full Metal Jacket” vient de mettre 5 étoiles à “Boule & Bill 2”,culture
True,"Après le succès de l’éclipse de lune, Dieu annonce plusieurs nouvelles dates pour 2019",culture
True,TF1 annule en urgence la participation d’Alexandre Benalla à « Danse avec les stars »,culture
True,Une publicité pour parfum censurée en raison de sa clarté et de sa cohérence,culture
True,Jean-Pierre Pernaut quitte tout pour faire le tour du monde en Lorraine,culture
True,Évasion spectaculaire d’un invité d’une émission présentée par Cyrille Eldin,culture
True,La compagne de David Guetta n’ose toujours pas dire à ses parents que son mari est DJ,culture
True,TEST : Êtes-vous plus musclé(e) que Cyril Féraud ?,culture
True,Malik Bentalha accuse Arthur de s’être inspiré de ses techniques de plagiat,culture
True,Françoise Nyssen « Stendhal ? Je n’ai jamais lu Le Rouge mais j’ai beaucoup aimé Le Noir »,culture
True,Télévision : La chaîne RMC Découverte retire de sa grille le documentaire « Les plus beaux Noëls d’Hitler »,culture
True,Michel Houellebecq annonce trois nouvelles dépressions nerveuses et une cirrhose pour 2019,culture
True,Patrick Sébastien attristé qu’aucune de ses chansons n’ait été jouée au mariage du prince Harry,culture
True,Un courageux studio tente de lancer la mode des super héros de comics au cinéma,culture
True,Julien Lepers accusé d’avoir détourné plus de 10.000 encyclopédies entre 1998 et 2015,culture
True,Laurent Delahousse raconte son coup de foudre après être passé devant un miroir,culture
True,Pascal le grand frère reconnaît insulter ses parents depuis l’âge de deux ans,culture
True,« Ce plat n’est pas au niveau d’une finale » par ce spectateur de Top Chef en train d’avaler son assiette de coquillettes-jambon,culture
True,"Désespéré, Pablo Mira tente d’attirer son public en achetant un article sponsorisé sur Le Gorafi #Sponso",culture
True,La version végane de Koh-Lanta aura lieu dans un champ de betteraves d’Indre-et-Loire,culture
True,Jean-Vincent Placé reprendra le rôle de Samy Naceri dans le prochain Taxi,culture
True,"Après le succès de ses mémoires, Jean-Marie Le Pen sortira un recueil de ses meilleures blagues antisémites",culture
True,Top Chef : 5 blessés lors de la nouvelle épreuve consistant à faire bouillir vivant Philippe Etchebest,culture
True,Héritage de Johnny : Laeticia devient légalement propriétaire de David et Laura,culture
True,Ed Sheeran songerait à utiliser les “notes noires” de son piano pour son prochain album,culture
True,Alerte : Nicolas Canteloup peut désormais vous imiter,culture
True,RMC : Eric Brunet prend la défense des avalanches,culture
True,Le ministère de l’Intérieur affirme avoir déjoué deux hommages à Johnny Hallyday depuis janvier,culture
True,Oscars : Gary Oldman choque le public en parlant cinéma entre 2 discours sur Trump et le sexisme,culture
True,"Télévision : Dans la saison 3 de “Baron Noir”, le personnage inspiré de Jean-Vincent Placé sera joué par un figurant",culture
True,5 choses terriblement ennuyeuses sur Thierry Beccaro,culture
True,IAM : Akhenaton et Shurik’n assurent ne pas savoir qui sont les deux hommes qui chantent à côté d’eux depuis 20 ans,culture
True,La police arrête une nouvelle fausse victime d’un concert de M. Pokora,culture
True,ONPC: Clash entre Christine Angot et un flocon de neige,culture
True,Dieudonné parvient à jouer en se faisant passer pour Elie Semoun,culture
True,The Voice – Polémique après les anciens tweets d’une candidate dans lesquels elle disait aimer Christophe Maé,culture
True,"Faute d’auditeurs, la station Europe 1 va être remplacée par un parking Vinci",culture
True,The Voice : Pascal Obispo se retourne après la diffusion par erreur du bruit d’une ponceuse,culture
True,Les médias français désormais obligés de couvrir une fois par an la guerre au Yémen,culture
True,La décrue de la Seine menace BFM TV de sujets de fond,culture
True,Le tournage de la nouvelle émission d’Arthur « Stars sous cocaïne » interrompu par l’arrivée de la police,culture
True,Mort de Dolores O’Riordan : les années 90 désormais représentées par Vanilla ice et Jon Bon Jovi,culture
True,L’Auto-Tune de Jul se sépare du chanteur et décide de sortir un album solo,culture
True,"Abonné depuis 3 ans, il n’a toujours pas lu un numéro de Charlie Hebdo",culture
True,Le labrador de Cyril Hanouna devient chevalier des Arts et des Lettres,culture
True,Un mec qui chantait « la la la » sous la douche accuse Grégoire de plagiat,culture
True,"En direct sur BFMTV, Christophe Barbier se blesse grièvement en voulant jongler avec deux armoires",culture
True,Coupes budgétaires à France Télévisions : les chiffres disparaissent des “chiffres et des lettres”,culture
